Entity,Code,Year,Maternal mortality ratio
Egypt,EGY,1997,95.0138
Egypt,EGY,1998,86.54623
Egypt,EGY,1999,83.955986
Egypt,EGY,2000,79.405136
Egypt,EGY,2001,75.6537
Egypt,EGY,2002,72.503555
Egypt,EGY,2003,65.709694
Egypt,EGY,2004,62.583195
Egypt,EGY,2005,57.65885
Egypt,EGY,2006,52.862514
Egypt,EGY,2007,47.913994
Egypt,EGY,2008,43.761612
Egypt,EGY,2009,40.008682
Egypt,EGY,2010,38.173283
Egypt,EGY,2011,34.417828
Egypt,EGY,2012,30.975227
Egypt,EGY,2013,28.182178
Egypt,EGY,2014,25.250156
Egypt,EGY,2015,23.939701
Egypt,EGY,2016,21.243773
Egypt,EGY,2017,19.566296
Egypt,EGY,2018,19.053669
Egypt,EGY,2019,17.765667
Egypt,EGY,2020,16.81971
Estonia,EST,1990,42.007114
Estonia,EST,1991,38.816086
Estonia,EST,1992,41.159145
Estonia,EST,1993,38.922024
Estonia,EST,1994,43.45562
Estonia,EST,1995,38.14433
Estonia,EST,1996,35.54729
Estonia,EST,1997,31.711895
Estonia,EST,1998,33.159054
Estonia,EST,1999,28.719252
Estonia,EST,2000,24.849953
Estonia,EST,2001,22.342983
Estonia,EST,2002,20.451153
Estonia,EST,2003,18.531036
Estonia,EST,2004,15.061834
Estonia,EST,2005,13.020889
Estonia,EST,2006,10.906229
Estonia,EST,2007,11.133658
Estonia,EST,2008,9.989891
Estonia,EST,2009,9.040399
Estonia,EST,2010,8.112171
Estonia,EST,2011,7.6188817
Estonia,EST,2012,7.55165
Estonia,EST,2013,7.118568
Estonia,EST,2014,6.5377855
Estonia,EST,2015,6.1233563
Estonia,EST,2016,5.8103323
Estonia,EST,2017,5.605207
Estonia,EST,2018,5.368494
Estonia,EST,2019,5.065453
Estonia,EST,2020,5.179642
Ethiopia,ETH,1990,1236.3136
Ethiopia,ETH,1991,1168.7079
Ethiopia,ETH,1992,1151.3756
Ethiopia,ETH,1993,1116.5876
Ethiopia,ETH,1994,1081.6609
Ethiopia,ETH,1995,1051.619
Ethiopia,ETH,1996,1017.62695
Ethiopia,ETH,1997,947.119
Ethiopia,ETH,1998,939.5823
Ethiopia,ETH,1999,977.9337
Ethiopia,ETH,2000,952.8363
Ethiopia,ETH,2001,955.1063
Ethiopia,ETH,2002,960.46564
Ethiopia,ETH,2003,906.1197
Ethiopia,ETH,2004,900.3782
Ethiopia,ETH,2005,879.8557
Ethiopia,ETH,2006,814.15686
Ethiopia,ETH,2007,780.3
